Artist,Title,Album,Year,Filename,Analysis
14. Mafia Rusa,Preludia al Caos,,,14. Mafia Rusa - Preludia al Caos.wav,❓ Poor matches - potentially rare
15. The Tragedy,Desert Moon,,,15. The Tragedy - Desert Moon.wav,❓ Poor matches - potentially rare
19. Dskarados,8 to 51,,,19. Dskarados -  8 to 51.wav,❓ Poor matches - potentially rare
21. Spare Change,Barrio,,,21. Spare Change - Barrio.wav,❓ Poor matches - potentially rare
22. Matamoska,East Los Angeles _ Remix,,,22. Matamoska -  East Los Angeles _ Remix.wav,❓ Poor matches - potentially rare
23. Operation No-One Knows,SimpsonNorm_01-01,,,23. Operation No-One Knows - SimpsonNorm_01-01.wav,❌ Not found - likely rare
29. Hub City Trash,Modern Song One,,,29. Hub City Trash - Modern Song One.wav,❓ Poor matches - potentially rare
3. Tim Timebomb & Friends,30 Pieces Of Silver (Prince Buste-Norm_01-01,,,3. Tim Timebomb & Friends - 30 Pieces Of Silver (Prince Buste-Norm_01-01.wav,❌ Not found - likely rare
31. The Ghetto on Phyre,Tome Con El Diablo,,,31. The Ghetto on Phyre - Tome Con El Diablo.wav,❓ Poor matches - potentially rare
Podcast Defaults,Pilot 6-4-21 - Kenny,,,Podcast Defaults - Pilot 6-4-21 - Kenny.m4a,❌ Not found - likely rare
Podcast Defaults,Pilot 6-4-21 - Mark,,,Podcast Defaults - Pilot 6-4-21 - Mark.m4a,❌ Not found - likely rare
Unknown Artist,Xynthesizr#02,,,Xynthesizr#02.wav,❓ Poor matches - potentially rare
Unknown Artist,Rural Acoustic Strum 15,,,Rural Acoustic Strum 15.wav,❓ Poor matches - potentially rare
Unknown Artist,V12_114_Gm_Elec_Guitar_11,,,V12_114_Gm_Elec_Guitar_11.wav,❌ Not found - likely rare
Unknown Artist,V12_114_Drums_Full merged_18,,,V12_114_Drums_Full merged_18.wav,❌ Not found - likely rare
Unknown Artist,DP2_87_Gmin_Gang_Horn2_1,,,DP2_87_Gmin_Gang_Horn2_1.wav,❌ Not found - likely rare
Unknown Artist,SFHS_88_E_Trumpet_1_2,,,SFHS_88_E_Trumpet_1_2.wav,❌ Not found - likely rare
Unknown Artist,Brit and Clean#05,,,Brit and Clean#05.wav,❓ Poor matches - potentially rare
Unknown Artist,Brit and Clean#02,,,Brit and Clean#02.wav,❓ Poor matches - potentially rare
Unknown Artist,Rio (2009 Remaster)_vocals_split_by_lalalai,,,Rio (2009 Remaster)_vocals_split_by_lalalai.wav,❌ Not found - likely rare
Unknown Artist,Rio (2009 Remaster)_no_vocals_split_by_lalalai,,,Rio (2009 Remaster)_no_vocals_split_by_lalalai.wav,❌ Not found - likely rare
Unknown Artist,Rio (2009 Remaster)_vocals_split_by_lalalai,,,Rio (2009 Remaster)_vocals_split_by_lalalai.wav,❌ Not found - likely rare
Unknown Artist,Rio (2009 Remaster)_no_vocals_split_by_lalalai,,,Rio (2009 Remaster)_no_vocals_split_by_lalalai.wav,❌ Not found - likely rare
Unknown Artist,Natural Strum#01,,,Natural Strum#01.wav,❓ Poor matches - potentially rare
Unknown Artist,LTHC_81_B_KEYS_RHODES_SOFTY,,,LTHC_81_B_KEYS_RHODES_SOFTY.wav,❌ Not found - likely rare
Unknown Artist,Cool Jazz Combo#05,,,Cool Jazz Combo#05.wav,❓ Poor matches - potentially rare
Unknown Artist,Theme Needs Lyrics 2_4#01,,,Theme Needs Lyrics 2_4#01.wav,❌ Not found - likely rare
Unknown Artist,Warm British Combo#01,,,Warm British Combo#01.wav,❓ Poor matches - potentially rare
Unknown Artist,Theme Needs Lyrics 2_8#09,,,Theme Needs Lyrics 2_8#09.wav,❓ Poor matches - potentially rare
Unknown Artist,Clean Studio Stack#02,,,Clean Studio Stack#02.wav,❓ Poor matches - potentially rare
Unknown Artist,RADH_80_Am_Cruical_1_Full_Horns_Multi,,,RADH_80_Am_Cruical_1_Full_Horns_Multi.wav,❌ Not found - likely rare
Unknown Artist,V15_115_Dm_Joy_Horns_03_Wet,,,V15_115_Dm_Joy_Horns_03_Wet.wav,❌ Not found - likely rare
Unknown Artist,1. Left Alone -Mi Barrio,,,1. Left Alone -Mi Barrio.wav,❓ Poor matches - potentially rare
Unknown Artist,2. Manic HIspanic -Mas Chingones,,,2. Manic HIspanic -Mas Chingones.wav,❌ Not found - likely rare
Unknown Artist,angry-grunt-103204,,,angry-grunt-103204.mp3,❌ Not found - likely rare
Unknown Artist,20140612 124222,,2014,20140612 124222.m4a,❌ Not found - likely rare
Unknown Artist,20150117 082558,,2015,20150117 082558.m4a,❓ Poor matches - potentially rare
Unknown Artist,20150117 082953,,2015,20150117 082953.m4a,❓ Poor matches - potentially rare
