File Path,Filename,Artist,Title,Album,Year,YouTube Results,Best Match Score,Match Quality,Analysis
/Volumes/jellyfin-media/music/Vive La Ska.wav,Vive La Ska.wav,Unknown Artist,Vive La Ska,,,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/5. Fuska - Pinche Puerco.wav,5. Fuska - Pinche Puerco.wav,5. Fuska,Pinche Puerco,,,5,75,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/6. The Independents - Never Let it go.wav,6. The Independents - Never Let it go.wav,6. The Independents,Never Let it go,,,5,73,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/25. 3rd Rate - Just Gimmie Some Beer.wav,25. 3rd Rate - Just Gimmie Some Beer.wav,25. 3rd Rate,Just Gimmie Some Beer,,,5,100,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/30. 8 Ball Fracture - Matapuerkos.wav,30. 8 Ball Fracture - Matapuerkos.wav,30. 8 Ball Fracture,Matapuerkos,,,4,91,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/26. Hari Generasi & Buux Frederiksen - Larry .wav,26. Hari Generasi & Buux Frederiksen - Larry .wav,26. Hari Generasi & Buux Frederiksen,Larry,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/28. La Onda - Down.wav,28. La Onda - Down.wav,28. La Onda,Down,,,5,52,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/18. The Strep Daughters - Over It.wav,18. The Strep Daughters - Over It.wav,18. The Strep Daughters,Over It,,,5,54,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/10. La Pobreska - Shots Fired.wav,10. La Pobreska - Shots Fired.wav,10. La Pobreska,Shots Fired,,,5,73,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/8. Concept 6 - Señora Pesadilla.wav,8. Concept 6 - Señora Pesadilla.wav,8. Concept 6,Señora Pesadilla,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/10. La Pobreska - Shots Fired .wav,10. La Pobreska - Shots Fired .wav,10. La Pobreska,Shots Fired,,,5,73,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/18. The Strep Daughters - Over It .wav,18. The Strep Daughters - Over It .wav,18. The Strep Daughters,Over It,,,5,54,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/4. Voodoo Glow Skulls - Creep Tonight.wav,4. Voodoo Glow Skulls - Creep Tonight.wav,4. Voodoo Glow Skulls,Creep Tonight,,,5,94,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/16. Spaztik - Bad Scene and a Yuma Show.wav,16. Spaztik - Bad Scene and a Yuma Show.wav,16. Spaztik,Bad Scene and a Yuma Show,,,2,57,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/17. Los Brigands - Cold Cold City.wav,17. Los Brigands - Cold Cold City.wav,17. Los Brigands,Cold Cold City,,,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/27. Infamous Stiffs - Freak Parade.wav,27. Infamous Stiffs - Freak Parade.wav,27. Infamous Stiffs,Freak Parade,,,5,91,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/16. Spaztik - Bad Scene and a Yuma Show .wav,16. Spaztik - Bad Scene and a Yuma Show .wav,16. Spaztik,Bad Scene and a Yuma Show,,,2,57,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/13. La Muerte - Momentos.wav,13. La Muerte - Momentos.wav,13. La Muerte,Momentos,,,5,71,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/20. Happy Drunk Cartel -  Demons in control Acoustic .wav,20. Happy Drunk Cartel -  Demons in control Acoustic .wav,20. Happy Drunk Cartel,Demons in control Acoustic,,,5,58,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/20. Happy Drunk Cartel -  Demons in control Acoustic.wav,20. Happy Drunk Cartel -  Demons in control Acoustic.wav,20. Happy Drunk Cartel,Demons in control Acoustic,,,5,58,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/11. Los Arambula - Con Huevos.wav,11. Los Arambula - Con Huevos.wav,11. Los Arambula,Con Huevos,,,5,90,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Skalloween 2020/12. Libertadores - Combi full of Misfits.wav,12. Libertadores - Combi full of Misfits.wav,12. Libertadores,Combi full of Misfits,,,5,72,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/9. Deseos Primitivos - Triste Canción.wav,9. Deseos Primitivos - Triste Canción.wav,9. Deseos Primitivos,Triste Canción,,,5,55,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/7. China Wife Motors - Lantana.wav,7. China Wife Motors - Lantana.wav,7. China Wife Motors,Lantana,,,5,69,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/26. Hari Generasi & Buux Frederiksen - Larry.wav,26. Hari Generasi & Buux Frederiksen - Larry.wav,26. Hari Generasi & Buux Frederiksen,Larry,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Skalloween 2020/24. Maria Blues - What a Crazy Night.wav,24. Maria Blues - What a Crazy Night.wav,24. Maria Blues,What a Crazy Night,,,5,89,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Full Album/The Lovers.wav,The Lovers.wav,Unknown Artist,The Lovers,,,5,97,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Full Album/Touched.wav,Touched.wav,Unknown Artist,Touched,,,5,91,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Full Album/Die A Little More.wav,Die A Little More.wav,Unknown Artist,Die A Little More,,,5,89,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Full Album/One Good Reason.wav,One Good Reason.wav,Unknown Artist,One Good Reason,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Full Album/That Girl.wav,That Girl.wav,Unknown Artist,That Girl,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Tear Down The Wall_MIX.wav,Tear Down The Wall_MIX.wav,Unknown Artist,Tear Down The Wall_MIX,,,5,58,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/ALREADY.wav,ALREADY.wav,Unknown Artist,ALREADY,,,5,74,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/subway.wav,subway.wav,Unknown Artist,subway,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/the ben folds five.wav,the ben folds five.wav,Unknown Artist,the ben folds five,,,5,68,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Tear Down The Wall_RADIO EDIT.wav,Tear Down The Wall_RADIO EDIT.wav,Unknown Artist,Tear Down The Wall_RADIO EDIT,,,5,66,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Tear Down The Wall_RADIO EDIT_No Vocal.wav,Tear Down The Wall_RADIO EDIT_No Vocal.wav,Unknown Artist,Tear Down The Wall_RADIO EDIT_No Vocal,,,5,58,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/three guys.wav,three guys.wav,Unknown Artist,three guys,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Tear Down The Wall_INSTRUMENTAL.wav,Tear Down The Wall_INSTRUMENTAL.wav,Unknown Artist,Tear Down The Wall_INSTRUMENTAL,,,5,57,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Full Album/Remixes/Touched remix final.wav,Touched remix final.wav,Unknown Artist,Touched remix final,,,5,71,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/elliot b day music/12. The Lumineers - Ho Hey.m4a,12. The Lumineers - Ho Hey.m4a,The Lumineers,Ho Hey,Billboard Hot 100 Songs 2013,2012,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/elliot b day music/19. Avicii - Wake Me Up.m4a,19. Avicii - Wake Me Up.m4a,Avicii,Wake Me Up,Billboard Hot 100 Songs 2013,2013,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/elliot b day music/14. Daft Punk - Get Lucky (Radio Edit) [Feat. Pharrell Williams].m4a,14. Daft Punk - Get Lucky (Radio Edit) [Feat. Pharrell Williams].m4a,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams],Billboard Hot 100 Songs 2013,2013,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Far East Movement/Don't Look Now (feat. Keri Hilson) - Single/01 Don_t Look Now.m4a,01 Don_t Look Now.m4a,Far East Movement,Don’t Look Now,Don't Look Now (feat. Keri Hilson) - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Far East Movement/Don't Look Now (feat. Keri Hilson) - Single/01 Don_t Look Now 1.m4a,01 Don_t Look Now 1.m4a,Far East Movement,Don’t Look Now,Don't Look Now (feat. Keri Hilson) - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Tom Petty & The Heartbreakers/Tom Petty & The Heartbreakers_ Greatest Hits/02 Breakdown.m4a,02 Breakdown.m4a,Tom Petty & The Heartbreakers,Breakdown,Tom Petty & The Heartbreakers: Greatest Hits,2008,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/M83/Midnight City - Single/01 Midnight City.m4a,01 Midnight City.m4a,M83,Midnight City,Midnight City - Single,2011,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/M83/Midnight City - Single/01 Midnight City 1.m4a,01 Midnight City 1.m4a,M83,Midnight City,Midnight City - Single,2011,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Abandon/Control/1-01 Feel It In Your Heart.m4a,1-01 Feel It In Your Heart.m4a,Abandon,Feel It In Your Heart,Control,2013,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Social Distortion/California (Hustle and Flow) - Single/01 California (Hustle and Flow) 1.m4a,01 California (Hustle and Flow) 1.m4a,Social Distortion,California (Hustle and Flow),California (Hustle and Flow) - Single,2011,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Social Distortion/California (Hustle and Flow) - Single/01 California (Hustle and Flow).m4a,01 California (Hustle and Flow).m4a,Social Distortion,California (Hustle and Flow),California (Hustle and Flow) - Single,2011,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Naked and Famous/Young Blood - Single/01 Young Blood.m4a,01 Young Blood.m4a,The Naked and Famous,Young Blood,Young Blood - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Naked and Famous/Young Blood - Single/01 Young Blood 1.m4a,01 Young Blood 1.m4a,The Naked and Famous,Young Blood,Young Blood - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/06 Fibonacci Sequence.m4a,06 Fibonacci Sequence.m4a,Beastie Boys,Fibonacci Sequence,The Mix Up (Bonus Tracks) - EP,2008,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/02 Beasley Is a Beast.m4a,02 Beasley Is a Beast.m4a,Beastie Boys,Beasley Is a Beast,The Mix Up (Bonus Tracks) - EP,2008,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/03 LTD.m4a,03 LTD.m4a,Beastie Boys,LTD,The Mix Up (Bonus Tracks) - EP,2008,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/04 The Panda Rat.m4a,04 The Panda Rat.m4a,Beastie Boys,The Panda Rat,The Mix Up (Bonus Tracks) - EP,2008,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/01 Politickin'.m4a,01 Politickin'.m4a,Beastie Boys,Politickin',The Mix Up (Bonus Tracks) - EP,2008,5,97,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Beastie Boys/The Mix Up (Bonus Tracks) - EP/05 The Mix Up.m4a,05 The Mix Up.m4a,Beastie Boys,The Mix Up,The Mix Up (Bonus Tracks) - EP,2008,5,96,Very good match,✅ Readily available
"/Volumes/jellyfin-media/music/The Rolling Stones/Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single/03 Doom & Gloom (Live).m4a",03 Doom & Gloom (Live).m4a,The Rolling Stones,Doom & Gloom (Live),"Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single",2014,5,84,Good match,⚠️  Available but might be different version
"/Volumes/jellyfin-media/music/The Rolling Stones/Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single/01 Beast of Burden (Live).m4a",01 Beast of Burden (Live).m4a,The Rolling Stones,Beast of Burden (Live),"Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single",2014,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Rolling Stones/Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single/02 Tumbling Dice (Live).m4a",02 Tumbling Dice (Live).m4a,The Rolling Stones,Tumbling Dice (Live),"Sweet Summer Sun, Live in Hyde Park 2013 (Live) - Single",2014,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/08 Chasing Cars.m4a,08 Chasing Cars.m4a,The Wind and The Wave,Chasing Cars,Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/04 Gold Guns Girls.m4a,04 Gold Guns Girls.m4a,The Wind and The Wave,Gold Guns Girls,Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/06 You've Got Time.m4a,06 You've Got Time.m4a,The Wind and The Wave,You've Got Time,Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/05 Ignition (Remix).m4a,05 Ignition (Remix).m4a,The Wind and The Wave,Ignition (Remix),Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/01 Chandelier.m4a,01 Chandelier.m4a,The Wind and The Wave,Chandelier,Covers One,2015,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/07 Time After Time.m4a,07 Time After Time.m4a,The Wind and The Wave,Time After Time,Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/02 Don't You (Forget About Me).m4a,02 Don't You (Forget About Me).m4a,The Wind and The Wave,Don't You (Forget About Me),Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Wind and The Wave/Covers One/03 Edge of Seventeen.m4a,03 Edge of Seventeen.m4a,The Wind and The Wave,Edge of Seventeen,Covers One,2015,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Duran Duran/All You Need Is Now - Single/01 All You Need Is Now.m4a,01 All You Need Is Now.m4a,Duran Duran,All You Need Is Now,All You Need Is Now - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Duran Duran/All You Need Is Now - Single/01 All You Need Is Now 1.m4a,01 All You Need Is Now 1.m4a,Duran Duran,All You Need Is Now,All You Need Is Now - Single,2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Dave Barnes/Very Merry Christmas (Bonus Track Version)/01 Very Merry Christmas 1.m4a,01 Very Merry Christmas 1.m4a,Dave Barnes,Very Merry Christmas,Very Merry Christmas (Bonus Track Version),2010,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Dave Barnes/Very Merry Christmas (Bonus Track Version)/01 Very Merry Christmas.m4a,01 Very Merry Christmas.m4a,Dave Barnes,Very Merry Christmas,Very Merry Christmas (Bonus Track Version),2010,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/08 Back To The Sea.m4a",08 Back To The Sea.m4a,The Thermals,Back To The Sea,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/04 A Pillar Of Salt.m4a",04 A Pillar Of Salt.m4a,The Thermals,A Pillar Of Salt,"The Body, The Blood, The Machine",2006,5,96,Very good match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/07 St. Rosa And The Swallows.m4a",07 St. Rosa And The Swallows.m4a,The Thermals,St. Rosa And The Swallows,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/01 Here's Your Future.m4a",01 Here's Your Future.m4a,The Thermals,Here's Your Future,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/10 I Hold The Sound.m4a",10 I Hold The Sound.m4a,The Thermals,I Hold The Sound,"The Body, The Blood, The Machine",2006,5,100,Very good match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/09 Power Doesn't Run On Nothing.m4a",09 Power Doesn't Run On Nothing.m4a,The Thermals,Power Doesn't Run On Nothing,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/06 Test Pattern.m4a",06 Test Pattern.m4a,The Thermals,Test Pattern,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/03 An Ear For Baby.m4a",03 An Ear For Baby.m4a,The Thermals,An Ear For Baby,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/02 I Might Need For You To Kill.m4a",02 I Might Need For You To Kill.m4a,The Thermals,I Might Need For You To Kill,"The Body, The Blood, The Machine",2006,5,95,Very good match,✅ Readily available
"/Volumes/jellyfin-media/music/The Thermals/The Body, The Blood, The Machine/05 Returning To The Fold.m4a",05 Returning To The Fold.m4a,The Thermals,Returning To The Fold,"The Body, The Blood, The Machine",2006,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Robert Francis/Before Nightfall/02 Junebug.m4a,02 Junebug.m4a,Robert Francis,Junebug,Before Nightfall,2009,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Jesse Thomas/Fire - Indie Spotlight Free Download/01 Fire.m4a,01 Fire.m4a,Jesse Thomas,Fire,Fire - Indie Spotlight Free Download,2012,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Jesse Thomas/War Dancer/08 Fire.m4a,08 Fire.m4a,Jesse Thomas,Fire,War Dancer,2012,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/The Village Callers/Live/07 Hector.m4a,07 Hector.m4a,The Village Callers,Hector,Live,2007,5,95,Excellent match,✅ Readily available
"/Volumes/jellyfin-media/music/Compilations/Miami 2015 (Mixed by Chuckie, MYNC, Grades, Mike Mago)/07 Do What You Wanna Do (Ims Anthem) [Grades Exclusive Miami Remix].m4a",07 Do What You Wanna Do (Ims Anthem) [Grades Exclusive Miami Remix].m4a,Nile Rodgers,Do What You Wanna Do (Ims Anthem) [Grades Exclusive Miami Remix],"Miami 2015 (Mixed by Chuckie, MYNC, Grades, Mike Mago)",2015,5,85,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Beds Are Burning (Tck Tck Tck) - Single/01 Beds Are Burning (Tck Tck Tck).m4a,01 Beds Are Burning (Tck Tck Tck).m4a,Various Artists,Beds Are Burning (Tck Tck Tck),Beds Are Burning (Tck Tck Tck) - Single,2009,5,97,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/04 Invite Them Up_ Eugene Mirman #1.m4a,04 Invite Them Up_ Eugene Mirman #1.m4a,Eugene Mirman #1,Invite Them Up: Eugene Mirman #1,Invite Them Up,2006,5,74,Good match,⚠️  Available but might be different version
