Artist,Title,Album,Year,Filename,Analysis
(G)HP Sauce,Beastie Ketchup,GHP Complete - CD02 The Bootlegs,2002,2-04 Beastie Ketchup.mp3,❓ Poor matches - potentially rare
(Various Artists),X-Mix 9 - 071406,Party Ben,2006,X-Mix 9 - 071406.mp3,❌ Not found - likely rare
(Various Artists),XFM Rinse Mix - 063006,Party Ben,2006,XFM Rinse Mix - 063006.mp3,❌ Not found - likely rare
(Various Artists),Party Ben Live at Bootie Oct 14 2006,Party Ben,2006,Party Ben Live at Bootie Oct 14 2006.mp3,❓ Poor matches - potentially rare
01,Ulnbiduln & Stephan - To another abyss ( bad-religion.net ),,,01 - Ulnbiduln & Stephan - To another abyss ( bad-religion.net ).mp3,❌ Not found - likely rare
01_[96.10.03],Baal T'shuvah (live),,,01_[96.10.03] - Baal T'shuvah (live).mp3,❌ Not found - likely rare
02,Stephan+jonny_strachan ( to bad-religion.net ),,,02 - Stephan+jonny_strachan ( to bad-religion.net ).mp3,❌ Not found - likely rare
02_[96.10.03],Gospel » Tomorrow Never Knows,,,02_[96.10.03] - Gospel » Tomorrow Never Knows.mp3,❌ Not found - likely rare
03_[97.07.06],Rootwitch,,,03_[97.07.06] - Rootwitch.mp3,❌ Not found - likely rare
04,Sam Lowry's Wetter Dream - 'The Monoliths Erupt',,,04 - Sam Lowry's Wetter Dream - 'The Monoliths Erupt'.mp3,❓ Poor matches - potentially rare
04_[5-5-86NY],FunkyAvocado,,,04_[5-5-86NY] - FunkyAvocado.mp3,❓ Poor matches - potentially rare
05_[96.10.06],Ritual Dance,,,05_[96.10.06] - Ritual Dance.mp3,❌ Not found - likely rare
06,The Restaurant - You've Got To Say the Number,,,06 - The Restaurant - You've Got To Say the Number.mp3,❓ Poor matches - potentially rare
06_[96.10.25],Fusion of the Five Elements,,,06_[96.10.25] - Fusion of the Five Elements.mp3,❌ Not found - likely rare
07,Money Comes From Heaven,,,07 - Money Comes From Heaven.mp3,❓ Poor matches - potentially rare
07_[97.09.21],Arrowhead,,,07_[97.09.21] - Arrowhead.mp3,❌ Not found - likely rare
08_[5-5-86NY],BreakfastInTheField,,,08_[5-5-86NY] - BreakfastInTheField.mp3,❓ Poor matches - potentially rare
09,Jill Brazil - Power Station,,,09 - Jill Brazil - Power Station.mp3,❓ Poor matches - potentially rare
09 Tigercide,Tigercide - Skull Rattle (Elixir Mix),Breast Fest Sampler,,09 Tigercide - Skull Rattle (Elixir Mix).mp3,❌ Not found - likely rare
09_[5-5-86NY],Two Days Old,,,09_[5-5-86NY] - Two Days Old.mp3,❓ Poor matches - potentially rare
11,Ducting Dream,,,11 - Ducting Dream.mp3,❓ Poor matches - potentially rare
11. FROG THE DAWG,skinned,MONSTER MASHUP - PHANTOM OF THE MASHUPERA,,11. FROG THE DAWG - skinned.mp3,❓ Poor matches - potentially rare
11_[96.10.03],Silent_Anticipations,,,11_[96.10.03] - Silent_Anticipations.mp3,❌ Not found - likely rare
12-28 A Slim McShady,A Slim McShady - Chris Moyles (Radio1 2002),GHP Complete - CD12 Rarities & Unreleased,2002,12-28 A Slim McShady - Chris Moyles (Radio1 2002).mp3,❌ Not found - likely rare
12-29 Genies Revenge,Genies Revenge - Eddy Temple-Morris & James Hyman (XFM 2002),GHP Complete - CD12 Rarities & Unreleased,2002,12-29 Genies Revenge - Eddy Temple-Morris & James Hyman (XFM 2002).mp3,❌ Not found - likely rare
12-30 The Weather Episode,The Weather Episode - Zane Lowe (XFM 2002),GHP Complete - CD12 Rarities & Unreleased,2003,12-30 The Weather Episode - Zane Lowe (XFM 2002).mp3,❌ Not found - likely rare
12_[97.09.21],Aerial_Boundaries,,,12_[97.09.21] - Aerial_Boundaries.mp3,❌ Not found - likely rare
13,Days & Nights in Kyoto - The Party (Part 2),,,13 - Days & Nights in Kyoto - The Party (Part 2).mp3,❓ Poor matches - potentially rare
13 stephen wright,Apt.,,,13 stephen wright - Apt..mp3,❓ Poor matches - potentially rare
13_[5-5-86NY],Because It'sThere,,,13_[5-5-86NY] - Because It'sThere.mp3,❓ Poor matches - potentially rare
14. Mafia Rusa,Preludia al Caos,,,14. Mafia Rusa - Preludia al Caos.wav,❓ Poor matches - potentially rare
14_[95.09.30],Torched,,,14_[95.09.30] - Torched.mp3,❌ Not found - likely rare
15. The Tragedy,Desert Moon,,,15. The Tragedy - Desert Moon.wav,❓ Poor matches - potentially rare
16,You Got Your Baby Back,,,16 - You Got Your Baby Back.mp3,❓ Poor matches - potentially rare
17,Harry Tuttle - A Man Consumed by Paperwork,,,17 - Harry Tuttle - A Man Consumed by Paperwork.mp3,❓ Poor matches - potentially rare
18,Mother's Funeral - Forces of Darkness,,,18 - Mother's Funeral - Forces of Darkness.mp3,❓ Poor matches - potentially rare
18 Love Is a Song,Love Is a Song - The Disney Gallery,A Musical History of Disneyland - 50th Anniversary [Disc 1],2005,18 Love Is a Song - The Disney Gallery.mp3,❓ Poor matches - potentially rare
19. Dskarados,8 to 51,,,19. Dskarados -  8 to 51.wav,❓ Poor matches - potentially rare
21. Spare Change,Barrio,,,21. Spare Change - Barrio.wav,❓ Poor matches - potentially rare
22. Matamoska,East Los Angeles _ Remix,,,22. Matamoska -  East Los Angeles _ Remix.wav,❓ Poor matches - potentially rare
22. Matamoska,East Los Angeles “ Remix,,,22. Matamoska -  East Los Angeles “ Remix .wav,❓ Poor matches - potentially rare
23. Operation No-One Knows,SimpsonNorm_01-01,,,23. Operation No-One Knows - SimpsonNorm_01-01.wav,❌ Not found - likely rare
29. Hub City Trash,Modern Song One,,,29. Hub City Trash - Modern Song One.wav,❓ Poor matches - potentially rare
3. Tim Timebomb & Friends,30 Pieces Of Silver (Prince Buste-Norm_01-01,,,3. Tim Timebomb & Friends - 30 Pieces Of Silver (Prince Buste-Norm_01-01.wav,❌ Not found - likely rare
31. The Ghetto on Phyre,Tome Con El Diablo,,,31. The Ghetto on Phyre - Tome Con El Diablo .wav,❓ Poor matches - potentially rare
31. The Ghetto on Phyre,Tome Con El Diablo,,,31. The Ghetto on Phyre - Tome Con El Diablo.wav,❓ Poor matches - potentially rare
